Glutamate (M),Max P(open)
1e-06,0.001117159098009329
1e-05,0.05810294336717091
2.5e-05,0.1813308830832233
5e-05,0.3299608084773617
0.0001,0.48361355878948564
0.0002,0.6031545950089725
0.00025,0.6322935909077743
0.0005,0.6976591338386039
0.00075,0.7221920734614289
0.001,0.735255703731828
0.002,0.7566355966010706
0.005,0.7721594558098259
0.01,0.7789049374265065
