Baseline (M),Norm Max
1e-09,0.9916523026415507
1e-08,0.9223680885355847
5e-08,0.7039680340744972
1e-07,0.5434020961665649
2e-07,0.37350036076043414
6e-07,0.16684487531496447
1e-06,0.10803469378865649
1.6e-06,0.07120315430180012
2e-06,0.05826409074134787
2.5e-06,0.047674335721107096
5e-06,0.02595612968819666
1e-05,0.015969714971053515
1.25e-05,0.014725778144255634
